000000000000000|0.0 0.0 0.0 0.07596735822503556 0.0030231869323322537 0.000727795863054818 0.0 0.012601696765371156 0.0 0.0
000000000000000000|0.0 0.0 0.0 0.21313038744332136 0.0 0.0 0.0 0.0 0.0 0.0
000000000466008522|0.0 0.0 0.0 0.09144564919854702 0.0018672012563285866 0.0 0.0013873046494535806 0.021524565646543075 0.0 0.0
000018032|0.0 0.015777087997305955 0.0 0.0 0.008665425568776539 0.0 0.0030354736369846416 0.0 0.0 0.0
000018454|0.0 0.0 0.0 0.0035780964708197927 0.0 0.0 0.0 0.05865874335544321 0.0 0.02803748402563448
000018630|0.000987537283895492 0.012102389485177431 0.0 0.0 0.10094264556028115 0.02878672002615358 0.04228837197791616 0.15115479452324085 0.5939853109497858 0.0
000019246|0.0 0.015777087997305955 0.0 0.0 0.008665425568776539 0.0 0.0030354736369846416 0.0 0.0 0.0
00002108X|0.0 0.013049893689603216 0.003871592514400373 0.029034394308792583 0.012122908645543138 0.015345106092740845 0.006825726560070495 0.0 0.0 0.0007581063676209488
00021878X|0.0 0.0 0.0 0.0 0.0019800315942817663 0.014510113777990689 0.0024844991210027987 0.031391725587211795 0.00116505998222781 0.001021413064136733
000226368|0.0 0.0 0.004407537338758486 0.031202540663054612 0.0 0.0 0.0 0.06810315064472738 0.0 0.0
001180816|0.00013007042964035176 0.0 0.00014285207116557667 0.0010747021701712548 0.00038384293401034093 0.005732739781718934 0.0016825441512189985 0.0 0.0 0.0
00247826X|0.0 0.015777087997305955 0.0 0.0 0.008665425568776539 0.0 0.0030354736369846416 0.0 0.0 0.0
002562912|0.0 0.0 0.00032063336320293677 0.003799306416690304 0.0021782634185661606 0.011103486648224747 0.0 0.026669539176276798 0.0 0.0
002582243|0.0 0.0006065023537345675 0.0 0.0002472626389215625 0.0 0.006267568935525041 0.0 0.003165176299398878 0.0001395742734080208 0.0
004502112|0.0 0.0 0.0 0.0 0.0 0.0 0.924402460765684 0.0 0.0 0.0
005139044|0.0 0.018489046255074183 0.0 0.0 0.007023533017088721 0.0 0.0 0.0 0.0 0.0
005303094|0.0 0.009188967904029057 0.0 0.00038635653159117887 0.008275339702133164 0.029695043247496774 0.0 0.01826916500812306 0.0 0.0
005747904|0.0 0.05001081782069914 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
009285356|0.002173619455495876 0.00454071123063942 0.0 0.0 0.10079206198896275 0.0 0.05059972322125601 0.08956097200918978 0.007788426943213276 0.0
009500108|0.00047353919189582435 0.0009731549683313678 0.0 0.0 0.014197338673745856 0.07369371547376148 0.004148149678770537 0.025712863885399926 0.0008776902692530263 0.00403588470019682
009715889|0.0 0.0 0.0 0.0 0.0 0.0 0.924402460765684 0.0 0.0 0.0
009922693|0.0 0.0 0.00016787576326948836 0.0 0.012644133729381597 0.02988322062618345 0.01581479777275952 0.05072213714963475 0.004527641453322066 0.0
01016224-9|0.0 0.0 0.0010555926049773598 0.03269510939447381 0.022681762248102998 0.0 0.0 0.07136371041434258 0.0 0.0
010183277|0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5873110275542973 0.0
010183429|0.0 0.0 0.0011542541644844369 0.0042089906685110765 0.000955150766393888 0.05147986755770678 0.014312651203511438 0.08537611337842134 0.0 0.0
011512925|0.0 0.0 0.1733213299917534 0.0 0.0 0.0 0.0 0.0 0.0 0.0
011928007|0.0 0.0 0.1733213299917534 0.0 0.0 0.0 0.0 0.0 0.0 0.0
012675750|0.00013007042964035176 0.0 0.00014285207116557667 0.0010747021701712548 0.00038384293401034093 0.005732739781718934 0.0016825441512189985 0.0 0.0 0.0
013274262|0.0 0.0 0.0005445192117123859 0.0 0.008210056501979625 0.0 0.0027857611712657857 0.23287613649070427 0.0 0.019569631700172313
013433091|0.0 0.0 0.004407537338758486 0.031202540663054612 0.0 0.0 0.0 0.06810315064472738 0.0 0.0
013897232|0.0 0.002021547990644268 0.0 0.0 0.0 0.0064940227188993735 0.000867582366370336 0.0059691645164249565 0.0 0.0010535441239795924
013899510|0.0 0.0 0.01009295339748869 0.0024678019697143235 0.033388712860173954 0.0006782542320247244 0.03003103921384917 0.15179507555230645 0.012161873153796535 0.0
