1|0.0 0.043752947474068674 0.0 0.20056988947602591 0.0 0.011130626509008354 0.0 0.0002602305138980725 0.0 0.018779635487100835
2|0.13396648388988358 0.6061657455473929 0.029235928406209588 0.16188124917751134 0.0 0.011640516774934133 0.0 0.011974374005934485 0.0 0.027431984430103605
3|0.0 0.0 0.0 0.31217510319716685 0.0 0.0 0.0 0.0 0.008745892791724401 0.08368737385210964
4|0.0 0.026045300578431425 0.0 0.0849026234244165 0.0 0.0 0.0 0.0017616950525192064 0.0 0.00040049581702303246
5|0.0 0.0 0.0 0.1445552554081845 0.0 0.0 0.0 0.0 0.024012472024171696 0.08441006028499569
6|0.21383678734296385 0.07923990467251901 0.0 0.5197826182503807 0.0 0.0 0.003767889703596476 0.0 0.019253734231485933 0.012054783176109756
7|0.03543883616718347 0.0 0.0 0.52310471684641 0.0 0.0 0.0 0.0 0.005518431656658769 0.0
8|0.0 0.0 0.0 0.3306123117763043 0.0 0.0 0.0 0.0 0.006090958261133496 0.012581412368349153
9|0.0 0.0 0.0007915585438017145 0.0 0.0018344655320366682 0.0 0.00201265274652335 0.0 0.0 1.36260364359172
10|0.0 0.0 0.0 0.286636500722477 0.0 0.0 0.0 0.0 0.0 0.019643891725001583
11|0.0 0.0 0.0 0.0 0.0 0.0 1.0651840984182606 0.0 0.0 0.0
12|0.0 0.0 0.0 0.351892392543341 0.0 0.0 0.01638785199833508 0.0 0.0 0.0
13|0.7676103615857806 1.0469538850815399 0.0 0.35780677112020065 0.0 0.0 0.07138226012228638 0.0 0.06898447827257381 0.0
14|0.0 0.0 0.0 0.2119436705642817 0.0 0.002563431148481761 0.0 0.0013529413691332724 0.0 0.0
15|0.0 5.9043806457087244e-05 0.0 0.05873578856983074 0.0 0.0017838123531133915 0.0 0.004978591313615733 0.0 0.0
16|0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.689127701060279 0.0
17|0.0 0.0 0.0 0.16773892938872642 0.0 0.009894541356986126 0.0 0.0 0.0 0.0
18|0.0 0.0 0.0 0.005052004672303295 8.900298058553977e-05 0.0 0.0 0.0006203353595398447 0.003048326095006754 0.005846244532739894
19|0.0 0.0 0.0 0.1410716226256334 0.0 0.0006561577415626637 0.0 0.0036676820741020433 0.0 0.0
20|0.0 0.46731895335974905 0.013127948771657676 0.06565534275731798 0.009104161245555076 0.06513145321158327 0.0 0.037786096332290964 0.0 0.0
21|0.0 0.5785879649933399 0.0 0.091608626701806 0.0 0.0 0.0 0.0 0.09330870087728452 0.10093611366596934
22|0.006472863816195324 0.7523746974354607 0.1389600906516713 0.12931897892764035 0.015609073897879947 0.019201472142899984 0.01252325164187495 0.0074512141819364774 0.0 0.008386021683372444
23|0.0 0.08566110829054979 0.0 0.16112374969782184 0.0 0.01600984343144433 0.0 0.0 0.0 0.006635442404455523
24|0.0 0.0 0.0 0.1264632223376026 0.0 0.0 0.0 0.0027391119958336614 0.0 0.0
25|0.0 0.0 0.0026043600191132106 0.020108736184056075 0.0 0.0007459009771534955 0.0 0.00397674989220151 0.0 0.0
26|0.0 0.0 0.013551916049079234 0.1123106569603672 0.0046413278196071744 0.014004454460888702 0.003123780306288954 0.01335534813936064 0.0 0.0
27|0.0 0.0 0.001533404237344778 0.10972266963965299 0.0012855653490167175 0.0 0.000755723175777679 0.0 0.0 0.0
28|0.0 0.00949493984030966 0.0002807577194900103 0.01676361531070186 0.0 0.00016514852938813825 0.0 0.00013427776875952953 0.0 0.0014825070203426823
29|0.03355508489630485 0.02230211447005821 0.0 0.23077929600921468 0.0 0.005000872900685941 0.004547314405132305 0.007777819305076186 0.0 0.0
30|0.0 0.009908635690113157 0.0 0.06845218691650905 0.0 0.0 0.0 0.00037089439886312263 0.0 0.0
31|0.0 0.0 0.0 0.07214654252111098 0.0 0.0 0.0 0.04533407686789775 0.0 0.0
32|0.0 0.0 0.0 0.0022098396134924035 0.0017943574182470623 0.0 0.0 0.000136998460653521 0.0 0.003745380603509286
33|0.0 0.0 0.0 0.014938609855459051 0.0 0.004652558301123467 0.0 0.01447703479450587 0.0 0.0
34|0.07634380073946734 0.03757729812168679 0.02235286895129604 0.3070019658634759 0.0 0.002805540463157795 0.022987065257872735 0.0 0.0008080062667694288 0.0
35|0.0 0.0 0.007874762671267764 0.014142241701397445 0.0 0.0 0.0 0.0 0.0 0.0055723861646309
36|0.0 0.0 0.0 0.012072685028017142 0.0 0.0 0.0 0.04695410467631322 0.0019200867543761211 0.01059928410684694
37|0.0 0.0 0.027691786803638912 0.00593612114903004 0.00022701129462060363 0.0 0.0012813599956436185 0.01007587180219779 0.0 0.0
38|0.0 0.0 0.0 0.0140682377632333 0.0006601644984176668 0.0 0.0 0.012660847429869419 0.0 0.0
39|0.0 0.0 0.0 0.3663048547160222 0.0 0.0 0.012955137971888827 0.0 0.004245191743517632 0.0
40|0.0 0.0 0.0 0.30119288055497045 0.0 0.0 0.007937240046247247 0.0 0.0 0.0
41|0.0 0.0 0.0 0.21428961863716872 0.003280009487337335 0.005859408281733183 0.0017811943350945316 0.0 0.0 0.0
42|0.0 0.0 0.0 0.21046297309229492 0.03872184719096272 0.00022905743306159292 0.008327894685922398 0.043955071082608606 0.0013806942461340934 0.0
43|0.0 0.0 0.0 0.4132247965569285 0.0 0.0 0.0 0.0 0.0 0.028732469986680186
44|0.0 0.0 0.0 0.01155813138968071 0.0 0.0004850044080764991 0.0 0.008349265337356495 0.0 0.0
45|0.0 0.0 0.0 0.024025700158209862 0.005267437544290025 0.008631896551348236 0.0018138797962020982 0.015624265839355635 0.0005045383094469749 0.0
46|0.0 0.0 0.06028862697132121 0.13113138548923414 0.029596892446247774 0.0 0.0 0.10022180041682696 0.0 0.0
47|0.0 0.0 0.1676739206515513 0.12478979230899784 0.001569152213927714 0.0 0.0 0.09465997067921252 0.0 0.0
48|0.0 0.0 0.05972748899439873 0.0692974526714436 0.014257686975672982 0.0017191191838045045 0.0 0.042469802510926066 0.0 0.0
49|0.0 0.0 0.02420297950639204 0.08430740326787989 0.002168747617506014 0.00327529507778702 0.0022523084895587856 0.039340509791594425 0.0 0.00017665938040885995
50|0.01343764839803976 0.0 0.0 0.013086930605036854 0.0 0.01676392605139518 0.0 0.0 0.0 0.0
51|0.0 0.07608499234045256 0.014765098329787904 0.04784443720694223 0.0 0.04343127924170737 0.003649181506248397 0.013639292798479268 0.0 0.0
52|0.0 0.0 0.047999233838364186 0.06706048081193909 0.0020873770072364216 0.0 0.0 0.03135268882186737 0.0 0.0
53|0.0 0.0 0.0 0.22096873018442817 0.014964347588299965 0.0010808061424220376 0.009843262535831482 0.0328332903300048 0.0 0.0
54|0.00537686075550075 0.0380088931590487 0.0 0.2339245078026248 0.00039122690787195643 0.0016810955488334688 0.003022396431503393 0.0 0.0 0.005741393144936881
55|0.0 0.0 0.0 0.0 0.0 0.9463026357815464 0.0 0.0 0.0 0.0
